,0
refinitiv_affiliated_company,4.249887811010957
company,0.5529974302062063
support,0.6386475192811315
investor,0.6564643345965343
equal,0.32967980392322016
express_appreciation,0.03222874609055582
shareholder,1.2907104004477195
pay,0.7202326179862435
liability,0.4580247994038867
protection_against,0.03767740401273557
financial_statement,0.42162774205746034
establishment,0.09865311058625659
skilled,0.08280680910722878
corporation,0.35568456022502326
principal,0.24117517046795944
determination,0.14712054270630462
information_provide_web_site_or_any_event_transcript,0.0
asset_liability,0.09919158570151061
involve,0.4668830043012555
satisfaction,0.12974533550467557
obligation,0.22267271154090643
holder,0.14674882471837916
common_stock,0.2033033494275601
redeemable,0.02537654381442483
shareholder_vote,0.023839843830771274
management_compensation,0.025857132274624117
inclusion,0.20731372034233853
align,0.4670954541600275
board_director,0.5984389118228581
stock_option,0.05145354150697861
assign,0.11912220527771811
outstanding_share,0.13894876494749714
equity,0.6379405435334435
essential,0.391868124285975
organization,0.7109907165926957
fair,0.39839597987216546
must,0.4724148653181536
long_history,0.10503274287208866
equity_component,0.027767603660581418
collaborative,0.11166625989525074
fair_value,0.22955753014737065
warrant,0.1651634300120484
executive,0.33966469857929454
commit,0.5128068894481573
contribute,0.5803865126545157
professional,0.36297209947392944
employee,0.8730876401356955
embrace,0.18975164987940144
innovative,0.35707320236744516
accountability,0.1267021683016152
classification,0.08561010171441061
integral,0.06118051733665297
recognition,0.29555654799932973
strive,0.20804258435557113
foremost,0.03589175991766349
commitment,0.5999888154381525
responsible,0.4230512141720148
key_stakeholder,0.05647000675347449
sum,0.18471665823166863
work_together,0.2692833806691243
bonus,0.21216602264016024
critical_success,0.036291087823716796
association,0.11730702008425828
ensure,0.6748578849555028
collective,0.13190310460164517
oversight,0.07184103079652364
proper,0.20431413739870263
customer-centric,0.08166809289901837
promote,0.3982068505841986
passion,0.13547282144944323
oversee,0.10949652193063959
appropriateness,0.026154170397885562
allocation,0.24038298331066413
responsibility,0.3928034667749641
appropriate,0.47268604171323314
health,0.4355540820930111
cultural,0.12745553850847358
culture,0.47272243589064084
eligible,0.19827171578758698
veteran,0.03982085354706209
pay_out,0.2506170730060547
unwavering_commitment,0.022629277662046164
internal_external,0.08235169873290078
long-standing,0.1095399984876646
color,0.40139151415393554
leader,0.4529352307614768
heartbeat,0.011962701750076984
work_closely,0.21183654446145897
teamwork,0.0707621185811525
kid,0.20583967394852667
